user_id,email,phone,country,channel,signup_date,last_active,revenue
U001,,+22892867825,Ghana,facebook,2026-01-04 21:47:57,19/01/2026,3010.09
U002,user002@mail.com,+22894335942,,facebook,2026-01-15 18:17:51,25/01/2026,
U003,user003@mail.com,+22896647119,BENIN,WhatsApp,2026-01-20 08:51:02,18/01/2026,3143.2
U004,user004@mail.com,+22897067228,  togo,,08/01/2026,2026-01-04 12:17:29,1850.9
U005,user005@mail.com,+22894514944,  togo,,21/01/2026,2026-01-15 12:17:59,3423.07
U006,user006@mail.com,,BENIN, whatsapp ,2026-01-09 02:13:58,2026-01-29 22:20:13,4572.74
U007,user007@mail.com,+22898698256,,,2026-01-09 23:37:27,2026-01-13 11:14:08,
U008,user008@mail.com,+22891790481,Ghana,,14/01/2026,2026-01-15 16:16:35,
U009,user009@mail.com,+22892921859,BENIN,,11/01/2026,01/01/2026,893.26
U010,user010@mail.com,+22892785277,,,07/01/2026,2026-01-31 16:58:00,559.34
U011,user011@mail.com,+22897089806,BENIN,facebook,2026-01-02 07:56:36,03/01/2026,3829.17
U012,user012@mail.com,+22893154051,Ghana,WhatsApp,2026-01-17 19:27:13,2026-01-25 23:44:12,3358.43
U013,user013@mail.com,+22897264956,  togo,facebook,2026-01-08 02:21:01,08/01/2026,1144.71
U014,user014@mail.com,,Ghana,WhatsApp,2026-01-16 06:34:08,29/01/2026,2035.3
U015,user015@mail.com,+22892582524,, whatsapp ,2026-01-15 23:03:43,2026-01-21 03:03:25,546.35
U016,user016@mail.com,+22894214348,,facebook,2026-01-09 14:15:55,2026-01-15 17:06:03,73.79
U017,user017@mail.com,+22892564689,Ghana, whatsapp ,16/01/2026,2026-01-02 05:24:00,3920.35
U018,user018@mail.com,+22898633773,,,16/01/2026,02/01/2026,250.71
U019,user019@mail.com,+22898999183,Ghana,Facebook,17/01/2026,03/01/2026,2848.38
U020,user020@mail.com,+22891666754,,,17/01/2026,23/01/2026,1499.99
U021,user021@mail.com,+22896304573,  togo, whatsapp ,2026-01-20 18:06:04,17/01/2026,
U022,user022@mail.com,+22895098412,,,2026-01-10 19:51:41,2026-01-22 17:19:59,671.46
U023,user023@mail.com,+22892936571,Ghana,WhatsApp,10/01/2026,2026-01-22 20:54:16,4540.8
U024,user024@mail.com,+22891852264,BENIN,Facebook,2026-01-01 10:49:08,2026-01-09 05:47:28,48.35
U025,user025@mail.com,+22892262382,Ghana,,02/01/2026,2026-01-05 01:19:23,4303.51
U026,user026@mail.com,+22897003042,  togo,WhatsApp,18/01/2026,2026-01-30 07:55:10,4407.08
U027,user027@mail.com,+22891415846,,,2026-01-08 08:10:50,13/01/2026,2301.52
U028,user028@mail.com,+22896120253,Ghana,Facebook,2026-01-07 12:21:17,2026-01-31 08:22:41,4218.31
U029,user029@mail.com,+22896555772,BENIN,facebook,2026-01-19 08:02:06,12/01/2026,578.23
U030,user030@mail.com,+22894188992,  togo,,2026-01-18 21:46:47,2026-01-07 11:27:04,3115.78
U031,user031@mail.com,+22893090865,BENIN,,14/01/2026,2026-01-05 06:26:42,4514.03
U032,user032@mail.com,+22896049101,BENIN,WhatsApp,2026-01-07 13:50:37,2026-01-11 14:28:28,3968.68
U033,user033@mail.com,+22893846949,,WhatsApp,03/01/2026,07/01/2026,4248.69
U034,user034@mail.com,+22892221854,,facebook,13/01/2026,2026-01-23 00:57:48,3892.1
U035,user035@mail.com,+22894671545,, whatsapp ,2026-01-02 17:15:58,2026-01-15 04:51:29,2977.26
U036,user036@mail.com,+22898425149,, whatsapp ,2026-01-18 14:57:10,16/01/2026,3829.07
U037,user037@mail.com,+22899745959,,Facebook,10/01/2026,18/01/2026,3532.1
